Date,NDX Close,QQQ Close,TQQQ Close,QQQ Return,Synthetic TQQQ Return,QQQ Source,TQQQ Source,NDX Classification
1938-02-15,2.31,0.049059014672481374,7.695574152445154e-05,-0.012820512820512664,-0.038092873938080404,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-16,2.31,0.049059014672481374,7.694208413131094e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-17,2.37,0.05033327479384453,8.283878321586882e-05,0.025974025974025983,0.0766381512943492,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-18,2.34,0.049696144733162945,7.972297368540558e-05,-0.012658227848101444,-0.03761293212557001,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-19,2.38,0.050545651480738384,8.373913011037932e-05,0.017094017094017255,0.05037640016818541,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-21,2.42,0.051395158228313816,8.788645751461643e-05,0.01680672268907557,0.04952675527880886,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-23,2.48,0.05266941834967697,9.431504710128992e-05,0.024793388429752206,0.07314653211053002,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-24,2.44,0.05181991160210154,8.979947898867289e-05,-0.016129032258064502,-0.04787749411573235,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-25,2.46,0.052244664975889255,9.196037097218614e-05,0.008196721311475308,0.024063524731426415,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-26,2.45,0.0520322882889954,9.083850706069775e-05,-0.004065040650406471,-0.0121994278581981,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-28,2.41,0.05118278154141996,8.64363298439153e-05,-0.016326530612244983,-0.04846157603450061,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-01,2.43,0.051607534915207684,8.85423752107975e-05,0.008298755186722184,0.024365279861897512,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-02,2.41,0.05118278154141996,8.637147347378728e-05,-0.008230452674897193,-0.02451822341383925,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-03,2.38,0.050545651480738384,8.317645476350624e-05,-0.012448132780083054,-0.036991596667048716,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-04,2.36,0.05012089810695067,8.109458272181658e-05,-0.008403361344537785,-0.02502958376392629,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-05,2.36,0.05012089810695067,8.108019080542586e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-07,2.31,0.049059014672481374,7.598557530444109e-05,-0.021186440677966045,-0.06283428110339233,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-08,2.31,0.049059014672481374,7.597209008742673e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-09,2.31,0.049059014672481374,7.595860726364408e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-10,2.28,0.04842188461179979,7.302772299939072e-05,-0.012987012987013102,-0.03858528177169679,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-11,2.24,0.047572377864224365,6.922577510423373e-05,-0.01754385964912264,-0.05206170669170129,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-12,2.25,0.04778475455111822,7.012745565929789e-05,0.004464285714285587,0.01302521428913611,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-14,2.28,0.04842188461179979,7.288027727330361e-05,0.013333333333333197,0.039254548566253974,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-15,2.36,0.05012089810695067,8.043001815899491e-05,0.03508771929824572,0.10359100113436016,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-16,2.25,0.04778475455111822,6.932886971540124e-05,-0.04661016949152541,-0.13802245352784598,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-17,2.23,0.0473600011773305,6.749404764907174e-05,-0.008888888888888835,-0.026465483626971494,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-18,2.16,0.045873364369073494,6.121637902593666e-05,-0.03139013452914796,-0.09301070008091974,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-19,2.2,0.04672287111664893,6.45581335762059e-05,0.0185185185185186,0.054589222744674024,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-21,2.2,0.04672287111664893,6.454667639584213e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-22,2.13,0.045236234308391916,5.8461434703471524e-05,-0.03181818181818197,-0.09427660775361896,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-23,2.09,0.04438672756081648,5.520422511098979e-05,-0.018779342723004744,-0.05571552612423859,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-24,2.1,0.04459910424771034,5.597558135049794e-05,0.004784688995215447,0.013972775416324763,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-25,1.98,0.042050584004984036,4.650608930053944e-05,-0.05714285714285705,-0.1691718392465479,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-26,1.95,0.04141345394430246,4.441393922590704e-05,-0.015151515151515138,-0.04498658360869894,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-28,1.96,0.04162583063119631,4.5079646015990465e-05,0.00512820512820511,0.014988690525678555,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-29,1.85,0.03928968707536387,3.7589478785284445e-05,-0.05612244897959173,-0.16615408266624668,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-30,1.83,0.038864933701576156,3.638100041159843e-05,-0.010810810810810811,-0.03214937830314255,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-03-31,1.8,0.03822780364089458,3.461072051502972e-05,-0.016393442622950838,-0.048659461711897216,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-01,1.89,0.040139193822939304,3.972246787408949e-05,0.04999999999999982,0.14769260168507678,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-02,1.96,0.04162583063119631,4.406635474373597e-05,0.03703703703703698,0.10935591623902863,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-04,1.96,0.04162583063119631,4.405853425472389e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
